Element,Reg,Green,Blue
H,1,1,1
D,0.8,0.8,1
He,0.851,1,1
Li,0.8,0.502,1
Be,0.761,1,0
B,1,0.71,0.71
C,0.565,0.565,0.565
N,0.188,0.314,0.973
O,1,0.051,0.051
F,0.565,0.878,0.314
Ne,0.702,0.89,0.961
Na,0.671,0.361,0.949
Mg,0.541,1,0
Al,0.749,0.651,0.651
Si,0.941,0.784,0.627
P,1,0.502,0
S,1,1,0.188
Cl,0.122,0.941,0.122
Ar,0.502,0.82,0.89
K,0.561,0.251,0.831
Ca,0.239,1,0
Sc,0.902,0.902,0.902
Ti,0.749,0.761,0.78
V,0.651,0.651,0.671
Cr,0.541,0.6,0.78
Mn,0.612,0.478,0.78
Fe,0.878,0.4,0.2
Co,0.941,0.565,0.627
Ni,0.314,0.816,0.314
Cu,0.784,0.502,0.2
Zn,0.49,0.502,0.69
Ga,0.761,0.561,0.561
Ge,0.4,0.561,0.561
As,0.741,0.502,0.89
Se,1,0.631,0
Br,0.651,0.161,0.161
Kr,0.361,0.722,0.82
Rb,0.439,0.18,0.69
Sr,0,1,0
Y,0.58,1,1
Zr,0.58,0.878,0.878
Nb,0.451,0.761,0.788
Mo,0.329,0.71,0.71
Tc,0.231,0.62,0.62
Ru,0.141,0.561,0.561
Rh,0.039,0.49,0.549
Pd,0,0.412,0.522
Ag,0.753,0.753,0.753
Cd,1,0.851,0.561
In,0.651,0.459,0.451
Sn,0.4,0.502,0.502
Sb,0.62,0.388,0.71
Te,0.831,0.478,0
I,0.58,0,0.58
Xe,0.259,0.62,0.69
Cs,0.341,0.09,0.561
Ba,0,0.788,0
La,0.439,0.831,1
Ce,1,1,0.78
Pr,0.851,1,0.78
Nd,0.78,1,0.78
Pm,0.639,1,0.78
Sm,0.561,1,0.78
Eu,0.38,1,0.78
Gd,0.271,1,0.78
Tb,0.188,1,0.78
Dy,0.122,1,0.78
Ho,0,1,0.612
Er,0,0.902,0.459
Tm,0,0.831,0.322
Yb,0,0.749,0.22
Lu,0,0.671,0.141
Hf,0.302,0.761,1
Ta,0.302,0.651,1
W,0.129,0.58,0.839
Re,0.149,0.49,0.671
Os,0.149,0.4,0.588
Ir,0.09,0.329,0.529
Pt,0.816,0.816,0.878
Au,1,0.82,0.137
Hg,0.722,0.722,0.816
Tl,0.651,0.329,0.302
Pb,0.341,0.349,0.38
Bi,0.62,0.31,0.71
Po,0.671,0.361,0
At,0.459,0.31,0.271
Rn,0.259,0.51,0.588
Fr,0.259,0,0.4
Ra,0,0.49,0
Ac,0.439,0.671,0.98
Th,0,0.729,1
Pa,0,0.631,1
U,0,0.561,1
Np,0,0.502,1
Pu,0,0.42,1
Am,0.329,0.361,0.949
XX,0.471,0.361,0.89
